departamento,departamento_id
Santo Tomé,18168
Pilagás,34042
El Carmen,38014
San Pedro,38063
Santa Bárbara,38070
General Alvear,50014
Apóstoles,54007
Candelaria,54021
Concepción,54035
San Ignacio,54098
San Javier,54105
Anta,66007
Campo santo,66049
Metán,66112
Orán,66126
Chicligasta,90021
Río Chico,90077
Paso de los Libres,18119
San Martín,18147
Pilcomayo,34049
Graneros,90035
Monteros,90070
Ituzaingó,18084
Leales,90056
Quilmes,6658
Empedrado,18042
Burruyacú,90007
Cruz Alta,90014
Famaillá,90028
Capital,90084
Tafí del Valle,90098
Trancas,90112
Gobernador Ovejero,38007
Pocito,70070
Bella Vista,18007
San Cosme,18133
La Capital,38021
Ledesma,38035
Avellaneda,6035
Pilar,6638
Las conchas,6805
Gualeguay,30049
Uruguay,30098
Pirané,34056
Aguirre,86007
las conchas,6805
Monte Caseros,18112
General Sarmiento,6412
San Roque,18161
Villaguay,30113
Lavalle,18091
Mercedes,18105
Cainguás,54014
Campana,6126
Goya,18070
Itatí,18077
San Luis del Palmar,18140
Napalpí,22049
Río Teuco,22063
Campo del Cielo,22105
Colón,30008
Concordia,30015
Federación,30028
Gualeguaychú,30056
La Paz,30070
Rosario del Tala,30091
Posadas,54028
La Frontera,54049
Guaraní,54056
Iguazú,54063
Rivadavia,66133
Curuzu Cuatia,18035
Berón de Astrada,18014
General Paz,18063
Laishí,34021
San Jerónimo,82105
San Lorenzo,82119
Esquina,18049
Formosa,34014
General Roca,62042
General Obligado,82049
Río Cuarto,14098
Mburucuyá,18098
Saladas,18126
San Miguel,18154
Feliciano,30042
Patiño,34035
La Banda,86035
Copo,86056
Figueroa,86070
Guasayán,86084
Matará,86098
Loreto,86105
Moreno,86119
Quebrachos,86140
Río Hondo,86147
Robles,86161
Silípica,86189
Diamante,30021
Paraná,30084
Tala,30091
Victoria,30105
San Justo,82112
Unión,14182
Rio Bermejo,22014
Bermejo,22014
Sauce,18175
Las Colonias,82070
Garay,82035
General Güemes,66049
Ramallo,6665
San Nicolás,6763
Zárate,6882
Constitución,82028
Leandro N. Alem,54070
Oberá,54091
General Belgrano,54049
25 de Mayo,54119
Paso De Los Libres,18119
San Luis Del Palmar,18140
Libertador General San Martín,22084
General Manuel Belgrano,54049
25 De Mayo,54119
Federal,30035
San Fernando,22140
Comandante Fernández,22021
1° de Mayo,22126
Almirante Brown,22007
Nogoyá,30077
Sin definir,18000
San Salvador,30088