id,nombre,anio
1,1924/1925,1924
2,1925/1926,1925
3,1926/1927,1926
4,1927/1928,1927
5,1928/1929,1928
6,1929/1930,1929
7,1930/1931,1930
8,1931/1932,1931
9,1932/1933,1932
10,1933/1934,1933
11,1934/1935,1934
12,1935/1936,1935
13,1936/1937,1936
14,1937/1938,1937
15,1938/1939,1938
16,1939/1940,1939
17,1940/1941,1940
18,1941/1942,1941
19,1942/1943,1942
20,1943/1944,1943
21,1944/1945,1944
22,1945/1946,1945
23,1946/1947,1946
24,1947/1948,1947
25,1948/1949,1948
26,1949/1950,1949
27,1950/1951,1950
28,1951/1952,1951
29,1952/1953,1952
30,1953/1954,1953
31,1954/1955,1954
32,1955/1956,1955
33,1956/1957,1956
34,1957/1958,1957
35,1958/1959,1958
36,1959/1960,1959
37,1960/1961,1960
38,1961/1962,1961
39,1962/1963,1962
40,1963/1964,1963
41,1964/1965,1964
42,1965/1966,1965
43,1966/1967,1966
44,1967/1968,1967
45,1968/1969,1968
46,1969/1970,1969
47,1970/1971,1970
48,1971/1972,1971
49,1972/1973,1972
50,1973/1974,1973
51,1974/1975,1974
52,1975/1976,1975
53,1976/1977,1976
54,1977/1978,1977
55,1978/1979,1978
56,1979/1980,1979
57,1980/1981,1980
58,1981/1982,1981
59,1982/1983,1982
60,1983/1984,1983
61,1984/1985,1984
62,1985/1986,1985
63,1986/1987,1986
64,1987/1988,1987
65,1988/1989,1988
66,1989/1990,1989
67,1990/1991,1990
68,1991/1992,1991
69,1992/1993,1992
70,1993/1994,1993
71,1994/1995,1994
72,1995/1996,1995
73,1996/1997,1996
74,1997/1998,1997
75,1998/1999,1998
76,1999/2000,1999
77,2000/2001,2000
78,2001/2002,2001
79,2002/2003,2002
80,2003/2004,2003
81,2004/2005,2004
82,2005/2006,2005
83,2006/2007,2006
84,2007/2008,2007
85,2008/2009,2008
86,2009/2010,2009
87,2010/2011,2010
88,2011/2012,2011
89,2012/2013,2012
90,2013/2014,2013
91,2014/2015,2014
92,2015/2016,2015
93,2016/2017,2016
94,2017/2018,2017
95,2018/2019,2018
96,2019/2020,2019
97,2020/2021,2020
98,2021/2022,2021
99,2022/2023,2022
100,2023/2024,2023